
# Generation Number  Best Fitness  Average Fitness  Worst Fitness
 176  1.622657  1.499998  1.350958
 177  1.631498  1.499572  1.337329
 178  1.633170  1.499459  1.348111
 179  1.726680  1.499294  1.178950
 180  1.665728  1.496016  1.372188
 181  1.626791  1.500538  1.342048
 182  1.651459  1.499247  1.352201
 183  1.597201  1.495130  1.333948
 184  1.601202  1.497642  1.385402
 185  1.612948  1.501071  1.417743
 186  1.572474  1.498550  1.412127
 187  1.612135  1.501283  1.398887
 188  1.586077  1.503097  1.398830
 189  1.600821  1.504291  1.374367
 190  1.619808  1.503799  1.403409
 191  1.596170  1.499452  1.384241
 192  1.597463  1.503093  1.390103
 193  1.621463  1.504701  1.401792
 194  1.598898  1.499148  1.354434
 195  1.625292  1.498182  1.341896
 196  1.606422  1.499763  1.391780
 197  1.636905  1.502161  1.391197
 198  1.624025  1.501550  1.398285
 199  1.623420  1.501927  1.391169
 200  1.608479  1.503358  1.390290
 201  1.636543  1.502704  1.336931
 202  1.621498  1.501359  1.350255
 203  1.607659  1.499861  1.384372
 204  1.666077  1.499618  1.333142
 205  1.583899  1.499192  1.335470
 206  1.650624  1.495878  1.276427
 207  1.583002  1.492625  1.262293
 208  1.616778  1.494257  1.316080
 209  1.607422  1.497788  1.345743
 210  1.586925  1.499182  1.371233
 211  1.624130  1.501340  1.350886
 212  1.575275  1.497816  1.315261
 213  1.612940  1.498659  1.294453
 214  1.610798  1.496777  1.352711
 215  1.674150  1.499473  1.342685
 216  1.632230  1.502696  1.405381
 217  1.589585  1.502809  1.386678
 218  1.598490  1.501392  1.395144
 219  1.591671  1.498482  1.350282
 220  1.593159  1.496855  1.383735
 221  1.595544  1.497043  1.411824
 222  1.612652  1.500958  1.416530
 223  1.580554  1.496395  1.366554
 224  1.666756  1.499843  1.297566
 225  1.653022  1.498767  1.375372
 226  1.570874  1.504126  1.345949
 227  1.601519  1.506372  1.397971
 228  1.629587  1.502696  1.400670
 229  1.673669  1.499465  1.345341
 230  1.591455  1.497695  1.394710
 231  1.593559  1.497693  1.357495
 232  1.663716  1.496462  1.309548
 233  1.679016  1.498647  1.311947
 234  1.586305  1.496321  1.334541
 235  1.626111  1.496000  1.331170
 236  1.712899  1.498410  1.150417
 237  1.638887  1.493237  1.330636
 238  1.683522  1.493808  1.329008
 239  1.576488  1.492473  1.358049
 240  1.612816  1.492839  1.343831
 241  1.600894  1.495024  1.392066
 242  1.620199  1.498048  1.348923
 243  1.609732  1.498488  1.338446
 244  1.625162  1.495430  1.309350
 245  1.653106  1.495996  1.316010
 246  1.602367  1.495786  1.380403
 247  1.632628  1.499313  1.304251
 248  1.612659  1.499627  1.267792
 249  1.603727  1.499086  1.348508
 250  1.597763  1.495897  1.371968
 251  1.594823  1.497150  1.390378
 252  1.675767  1.498881  1.342934
