
# Generation Number  Best Fitness  Average Fitness  Worst Fitness
 176  0.029384  0.031546  0.035197
 177  0.030279  0.031576  0.034102
 178  0.029958  0.031505  0.033127
 179  0.029578  0.031564  0.033526
 180  0.029756  0.031505  0.035534
 181  0.030290  0.031476  0.032479
 182  0.030298  0.031496  0.033173
 183  0.030317  0.031461  0.033028
 184  0.029648  0.031472  0.033682
 185  0.030401  0.031461  0.032784
 186  0.030190  0.031468  0.032749
 187  0.030341  0.031463  0.032878
 188  0.030457  0.031468  0.032363
 189  0.030509  0.031458  0.034212
 190  0.030142  0.031501  0.033834
 191  0.030319  0.031474  0.032985
 192  0.030462  0.031522  0.034238
 193  0.030531  0.031511  0.032794
 194  0.030455  0.031527  0.033117
 195  0.030608  0.031562  0.033372
 196  0.030007  0.031616  0.034318
 197  0.030176  0.031600  0.033360
 198  0.030549  0.031667  0.033471
 199  0.030420  0.031718  0.033208
 200  0.030286  0.031769  0.033870
 201  0.029971  0.031746  0.033622
 202  0.030353  0.031687  0.033381
 203  0.030294  0.031674  0.034162
 204  0.029858  0.031611  0.035091
 205  0.030391  0.031661  0.035544
 206  0.030398  0.031571  0.032826
 207  0.030488  0.031621  0.033905
 208  0.030063  0.031688  0.034423
 209  0.030310  0.031688  0.033203
 210  0.030134  0.031721  0.033229
 211  0.029669  0.031733  0.033680
 212  0.029696  0.031708  0.033409
 213  0.030148  0.031770  0.033192
 214  0.030021  0.031765  0.033441
 215  0.029791  0.031823  0.033440
 216  0.030658  0.031785  0.033509
 217  0.030400  0.031792  0.036080
 218  0.029899  0.031869  0.034576
 219  0.029973  0.031816  0.034714
 220  0.030219  0.031874  0.034289
 221  0.029954  0.031789  0.033502
 222  0.030186  0.031942  0.034025
 223  0.030269  0.031944  0.036748
 224  0.030221  0.032033  0.033343
 225  0.030462  0.032100  0.033672
 226  0.030240  0.032085  0.034039
 227  0.030211  0.032085  0.034969
 228  0.030408  0.032070  0.034199
 229  0.030121  0.032024  0.034447
 230  0.029931  0.031917  0.036271
 231  0.030102  0.031977  0.033563
 232  0.029974  0.031926  0.034275
 233  0.030693  0.031946  0.033260
 234  0.030244  0.031921  0.033424
 235  0.030223  0.031968  0.034861
 236  0.030161  0.031966  0.033406
 237  0.030364  0.032073  0.033554
 238  0.030209  0.032100  0.034983
 239  0.030156  0.032116  0.034296
 240  0.030705  0.032050  0.034137
 241  0.031006  0.032044  0.033912
 242  0.030980  0.032062  0.033865
 243  0.030601  0.032049  0.033458
 244  0.030964  0.032136  0.034833
 245  0.030580  0.032128  0.034488
 246  0.030850  0.032154  0.033392
 247  0.030950  0.032248  0.033898
 248  0.031015  0.032336  0.033881
 249  0.031108  0.032310  0.033400
 250  0.030920  0.032390  0.033859
 251  0.030676  0.032413  0.034368
 252  0.031324  0.032453  0.033771
 253  0.031292  0.032508  0.033908
 254  0.031413  0.032518  0.034164
 255  0.031154  0.032460  0.036418
 256  0.031074  0.032457  0.034377
 257  0.030998  0.032440  0.035013
 258  0.031177  0.032396  0.033740
 259  0.031183  0.032349  0.033606
 260  0.031095  0.032456  0.034293
 261  0.031095  0.032481  0.034004
 262  0.031018  0.032417  0.033717
 263  0.031336  0.032536  0.035077
 264  0.031133  0.032528  0.034229
 265  0.031017  0.032466  0.033611
 266  0.030999  0.032615  0.040540
 267  0.030802  0.032500  0.034351
 268  0.031531  0.032633  0.034589
 269  0.031174  0.032661  0.035345
 270  0.030954  0.032490  0.034046
 271  0.031009  0.032513  0.034548
 272  0.030365  0.032510  0.036890
 273  0.030339  0.032438  0.033730
 274  0.030459  0.032495  0.033873
 275  0.030988  0.032522  0.034104
 276  0.031140  0.032579  0.035182
 277  0.031183  0.032543  0.033876
 278  0.030899  0.032538  0.034589
 279  0.030785  0.032625  0.034133
 280  0.031610  0.032664  0.034132
 281  0.031808  0.032649  0.033840
 282  0.031433  0.032689  0.034072
 283  0.031349  0.032649  0.034425
 284  0.030729  0.032624  0.034216
 285  0.031203  0.032609  0.034332
 286  0.031408  0.032641  0.034248
 287  0.031429  0.032656  0.033839
 288  0.031372  0.032687  0.033858
 289  0.031675  0.032704  0.034377
 290  0.031626  0.032664  0.034182
 291  0.031648  0.032692  0.034030
 292  0.031252  0.032698  0.035007
 293  0.031285  0.032616  0.034119
 294  0.031266  0.032577  0.034502
 295  0.031423  0.032617  0.034422
 296  0.031288  0.032638  0.033952
 297  0.031514  0.032544  0.033656
 298  0.031034  0.032610  0.034748
 299  0.030803  0.032583  0.033594
 300  0.031230  0.032658  0.034211
 301  0.031421  0.032709  0.034270
 302  0.031361  0.032660  0.033893
 303  0.031302  0.032655  0.035401
 304  0.031149  0.032661  0.034482
 305  0.031482  0.032706  0.033782
 306  0.031636  0.032704  0.033609
 307  0.031770  0.032791  0.034436
 308  0.031438  0.032784  0.033983
 309  0.031454  0.032808  0.034320
 310  0.031431  0.032735  0.033961
 311  0.031787  0.032727  0.033901
 312  0.031762  0.032803  0.034201
 313  0.031591  0.032806  0.034237
 314  0.031413  0.032754  0.033765
